feature,permutation_importance,permutation_importance_std
concave points_worst,0.4595238095238095,0.07682031335667468
radius_worst,0.059523809523809514,0.038759096657380254
radius_mean,0.0,0.0
concavity_worst,0.0,0.0
perimeter_ratio,0.0,0.0
radius_ratio,0.0,0.0
worst_features_max,0.0,0.0
worst_features_avg,0.0,0.0
mean_features_std,0.0,0.0
mean_features_avg,0.0,0.0
compactness_worst,0.0,0.0
perimeter_mean,0.0,0.0
area_worst,0.0,0.0
perimeter_worst,0.0,0.0
radius_se,0.0,0.0
concave points_mean,0.0,0.0
concavity_mean,0.0,0.0
compactness_mean,0.0,0.0
area_mean,0.0,0.0
area_ratio,0.0,0.0
